Month,L27,L28,L29,L30,L31,L32,L33,L34
07/01/2018 02:00,0.206317852,0.346307065,0.916223599,1.716256758,2.293866893,3.29493277,0.132579468,0.261161525
07/01/2018 03:00,0.222695313,0.396425293,0.573039241,1.574341085,1.821323395,3.1180501,0.145825586,0.210564627
07/01/2018 04:00,0.279005059,0.262134521,0.362750221,2.348395095,1.709772024,2.801783028,0.207360081,0.298455388
07/01/2018 05:00,0.359967945,0.483625065,0.206987852,1.432968318,1.655508098,3.3353104,0.315019571,0.177499748
07/01/2018 06:00,0.304131013,0.40007134,0.217042155,3.368699667,1.766733523,3.353968953,0.245870589,0.549805697
07/01/2018 07:00,0.275088779,0.281000301,0.287019326,2.043834033,1.644057157,3.17723444,0.114746805,0.171015033
07/01/2018 08:00,0.285367897,0.497736981,0.666711995,0.639860123,1.670643336,2.766372442,0.157639897,0.06728477
07/01/2018 09:00,0.289144673,0.170328537,0.25402669,3.113113273,1.371074738,3.347034097,0.236169462,0.527522989
07/01/2018 10:00,0.41893482,0.417394944,0.227654993,2.072462925,1.610432781,3.148517258,0.22417302,0.476726514
07/01/2018 11:00,0.371059122,0.381772491,0.357664128,1.463346397,1.862004907,2.876494404,0.094905424,0.102582362
07/01/2018 12:00,0.313481753,0.23256136,0.674076153,1.209717423,2.068620062,2.638232527,0.204704116,0.523990153
07/01/2018 13:00,0.279204433,0.417014472,0.583347992,1.316722228,1.802402626,2.703140442,0.107486906,0.133215576
07/01/2018 14:00,0.355033251,0.401535249,0.705666514,1.469206493,1.881926166,3.430966462,0.136368356,0.980137868
07/01/2018 15:00,0.356243807,0.193271655,0.869658621,0.834578096,1.794341707,2.506910421,0.078750816,0.19352525
07/01/2018 16:00,0.2666477,0.142807377,0.89956073,1.805278527,1.695480143,2.156791219,0.268069455,0.089118077
07/01/2018 17:00,0.383455239,0.154624543,0.844760554,1.338207087,1.69493941,2.21323335,0.291665048,0.442934673
07/01/2018 18:00,0.473009893,0.138191829,1.042907431,0.738755835,1.610096161,2.452502204,0.126047653,0.109618578
07/01/2018 19:00,0.803542027,0.268280146,0.380499175,1.250561879,2.184717436,2.723264192,0.193229398,1.075358869
07/01/2018 20:00,0.649432758,0.183756926,0.670133244,0.554991752,1.826356266,2.516336845,0.161841654,0.140991198
07/01/2018 21:00,0.277440464,0.313243673,0.81511811,1.013415804,1.96220163,2.80624714,0.186738979,0.192046345
07/01/2018 22:00,0.310075592,0.185842796,1.319505899,0.895071366,1.805329984,2.254903036,0.12843794,0.151011081
07/01/2018 23:00,0.486272725,0.228000298,1.005044858,1.226830485,1.986779486,3.246446122,0.110532215,1.004119481
08/01/2018 00:00,0.474257242,0.144678696,0.937292508,2.471713213,2.369992058,3.282470882,0.281972874,0.401567706
08/01/2018 01:00,0.423640919,0.11387356,0.612018756,1.8877592,1.651443621,2.673059159,0.087815649,0.209324094
08/01/2018 02:00,0.35395441,0.122505306,0.363082516,1.886568873,1.766770225,2.8057166,0.097348198,0.154049858
