Month,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26
04/01/2018 16:00,1.898651334,1.918882423,3.83418E-07,3.85544E-07,2.343400726,4.560560176,0.010357968,0.068702851,0.144562263,0.194554808,0.202762089,0.293893144
04/01/2018 17:00,0.972634857,1.884816571,3.83868E-07,3.83484E-07,2.21652949,4.38048884,0.0123744,0.069116192,0.185554761,0.171924008,0.212990767,0.2602179
04/01/2018 18:00,0.794471273,1.684609804,3.83709E-07,3.83719E-07,2.388894284,2.673546505,0.007721644,0.074109286,0.154086677,0.166524653,0.124188209,0.274601471
04/01/2018 19:00,0.971369444,2.891818503,3.83731E-07,3.84607E-07,1.922506861,2.213918717,0.017253078,0.071306986,0.135079161,0.147118382,0.166448117,0.310670978
04/01/2018 20:00,1.560473014,1.379837771,3.83016E-07,3.83503E-07,1.704187402,3.068676399,0.013639659,0.071033049,0.115819249,0.144401188,0.168311102,0.219793405
04/01/2018 21:00,1.389824438,1.350033708,3.83034E-07,3.83095E-07,1.771557056,3.080611178,0.008966551,0.067764506,0.119693849,0.216265253,0.156178319,0.304121038
04/01/2018 22:00,1.020985359,1.325933572,3.83157E-07,3.8446E-07,1.853572884,3.104486744,0.008690263,0.051859606,0.173306857,0.24434686,0.134838434,0.294147026
04/01/2018 23:00,1.088885949,2.078787043,3.83002E-07,3.84547E-07,2.099604959,3.729091362,0.008031622,0.03880588,0.07844082,0.213444784,0.117631126,0.282700834
05/01/2018 00:00,1.170832512,1.071428022,3.82765E-07,3.83694E-07,2.192382913,4.576451396,0.006664087,0.029686314,0.071132165,0.198386388,0.117704177,0.304732074
05/01/2018 01:00,1.297252636,0.847691947,3.83834E-07,3.84801E-07,2.387463236,4.767671135,0.006704367,0.027818721,0.078613102,0.208445107,0.175170144,0.313318046
05/01/2018 02:00,2.291422877,1.312821554,3.83708E-07,3.84482E-07,2.797067151,3.24183928,0.006507168,0.017561938,0.049198197,0.162479281,0.130087402,0.292270858
05/01/2018 03:00,2.427098436,0.983494937,3.83276E-07,3.82535E-07,2.617730832,2.92071888,0.010357709,0.024624656,0.195382033,0.125487703,0.141782914,0.32127466
05/01/2018 04:00,2.555808603,1.718144174,3.83076E-07,3.83921E-07,2.89666928,3.331765146,0.007112016,0.016805535,0.071754894,0.160074991,0.149130745,0.329597498
05/01/2018 05:00,1.663412288,1.871138583,3.83718E-07,3.83841E-07,3.33412559,3.176201083,0.013947352,0.01876698,0.073139343,0.535979216,0.152883495,0.258690787
05/01/2018 06:00,1.570873805,1.643046725,3.8313E-07,3.84201E-07,2.663066292,2.672127935,0.00574432,0.019149689,0.071971371,0.132937859,0.161716656,0.287257274
05/01/2018 07:00,1.560217807,1.141747674,3.8197E-07,3.81856E-07,3.037374001,2.757472641,0.004081731,0.013533701,0.071107335,0.061612873,0.122149809,0.327218228
05/01/2018 08:00,1.742054991,2.494466808,3.84582E-07,3.85078E-07,2.030566992,2.163845148,0.01029899,0.015068299,0.064458632,0.151273626,0.154152143,0.285496594
05/01/2018 09:00,1.591284021,3.430871402,3.83122E-07,3.84118E-07,1.874553101,2.317337112,0.007428895,0.017568887,0.064978142,0.204898079,0.189531197,0.298995364
05/01/2018 10:00,1.954573597,1.146278645,3.84008E-07,3.84503E-07,2.167729121,3.067436056,0.00654572,0.019207355,0.181038805,0.189134179,0.170294492,0.341515426
05/01/2018 11:00,1.803358238,1.07680713,3.83062E-07,3.84145E-07,1.921710531,3.463512282,0.016722822,0.013794412,0.23425151,0.137134684,0.161567576,0.323911924
05/01/2018 12:00,1.694745525,0.654601534,3.82078E-07,3.83269E-07,2.339607244,2.850357789,0.005865483,0.026569513,0.066345667,0.092187951,0.187737177,0.305309442
05/01/2018 13:00,1.683510729,0.84406045,3.83734E-07,3.84463E-07,1.433195546,3.374226844,0.005770084,0.030003495,0.051718405,0.053880899,0.15796585,0.266325427
05/01/2018 14:00,1.835104546,1.240015252,3.83432E-07,3.85138E-07,2.517185791,4.10242341,0.006509236,0.03659652,0.203155482,0.09689933,0.214039545,0.316053481
05/01/2018 15:00,1.612775965,1.712724599,3.84085E-07,3.85086E-07,3.125993967,3.746084472,0.013233457,0.045625674,0.266335846,0.099248562,0.269808588,0.386322958
05/01/2018 16:00,1.640424361,1.52815965,3.83838E-07,3.85538E-07,3.358907696,3.120603303,0.007874701,0.060776676,0.148305172,0.071250772,0.307251932,0.56964966
05/01/2018 17:00,1.605463765,0.957634701,3.83194E-07,3.84198E-07,3.256152702,4.863969435,0.008982678,0.062825193,0.156396518,0.081238967,0.249049382,0.558849828
05/01/2018 18:00,1.590190441,1.793629429,3.83373E-07,3.83797E-07,3.293584207,5.362427685,0.008606537,0.057139446,0.109254305,0.175521221,0.249104767,0.610552976
05/01/2018 19:00,1.489794538,1.862197552,3.84952E-07,3.83589E-07,3.301056628,3.527142673,0.013315595,0.071975111,0.06336062,0.346718129,0.525708973,0.620401197
05/01/2018 20:00,1.44364256,2.957161168,3.8411E-07,3.85035E-07,3.05563761,3.448402895,0.011524592,0.056512742,0.118479386,0.181016217,0.653638759,0.448831699
05/01/2018 21:00,1.143844224,2.038783282,3.82355E-07,3.8347E-07,2.541244806,3.462171442,0.00640324,0.053794114,0.064751177,0.116734576,0.391751308,0.44389156
05/01/2018 22:00,1.116742152,2.037088051,3.83066E-07,3.83533E-07,2.596720779,3.164025283,0.008608816,0.047810958,0.275771837,0.168257759,0.438518486,0.483151209
05/01/2018 23:00,0.838645554,2.138822268,3.84291E-07,3.84535E-07,2.700793628,2.680348902,0.005840947,0.041096737,0.173268826,0.095329593,0.356503927,0.504940198
06/01/2018 00:00,0.933931963,1.286674583,3.83132E-07,3.84334E-07,2.576136217,3.836730628,0.005352202,0.022645707,0.217987885,0.114002417,0.321453433,0.474489817
06/01/2018 01:00,0.863202636,1.637992633,3.83264E-07,3.83303E-07,2.759860099,3.4628442,0.004049453,0.023936042,0.154136919,0.171703491,0.501939308,0.487774095
