Days,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34
03/01/2018 22:00,1426278960,1934170518,103831012.9,317497290.3,11153515224,14960019264,92624211.83,45421516.58,1827488676,4661721796,18728462591,12265270742,4944336277,578130667.2,25416493298,7872561024,3846.224444,3853.931111,22251600573,31716200576,126937980.6,668242815.4,1103632882,937405748.3,1518103515,2555013646,5142926336,2614978998,13817042570,4843558278,28256332388,22563301626,1432833117,14415795107
03/01/2018 23:00,979995697.8,2076148024,84018488.28,274666017.5,10731991604,16082321530,98800049.4,34104545.13,2695332455,7242794944,19955782074,12078142255,7067353585,1123154074,24215870533,5669897111,3826.902222,3838.351111,23836706961,25334417017,99182558.91,444639396.4,1147055785,843475893.5,1329547956,3333575024,7943072308,2738071697,6697924305,2251277430,27480190660,20183945047,1357623637,3543525676
04/01/2018 00:00,894040267.9,4778471107,68185562.03,259579361.8,10380305467,20157811381,88916357.03,35335467.16,1528473407,6785645425,26655349617,11646510325,7045158597,678332944.4,18564237188,19302001892,3830.241808,3836.065537,32551955179,25051723100,51700697.04,387465272.7,1225521777,647505483.4,2048512437,3033752858,7722610861,3337101865,3862292366,15518104315,34668837702,16665133042,1167571465,3695619940
04/01/2018 01:00,965555715.8,5255084741,14450126.67,244935828.4,11178507459,21613529108,75572051.15,45612326.84,2265923777,8087295699,26801308319,12923014308,7907853304,1660202208,14953167902,2958200539,4152.122222,4156.617778,30475858262,22739102212,78543608.9,234743633.3,1244471279,1228217911,3408597618,2285804543,4642397408,2075328223,759798173.8,421930873.4,33620708498,16463848722,1448159938,14775915533
04/01/2018 02:00,1130795773,4100930892,19665297.87,238135940.8,13474329375,14875584379,84645355.31,5638860.806,1899084591,6946294643,19172554035,15055025024,6751065172,1411810881,13738391864,4132899000,4112.622222,4109.433333,27255068188,17307470337,120418005.3,238303273.3,1582980035,1082834917,2222561494,1630827871,3443706079,2202008707,1375923597,1605955508,33698649713,15121869986,2564591267,5853210656
04/01/2018 03:00,945546836.4,2346178721,13082720.57,231200648.2,15169821961,15036402740,78605576.58,24300310.25,2123842120,7452083317,16923593641,16773949672,6947760906,1355161333,8375388161,2887538097,3965.835556,3959.391111,24399962095,16213983359,47946037.12,233443787.2,670126935.5,997839284.4,1819118139,1629914486,1526784046,2376925027,918347041.9,236373789.5,28777320084,12398435503,1103501146,2068074028
04/01/2018 04:00,840307315.9,3770123569,9339921.567,225709501.7,15550208109,15409470461,90488205.79,4568181.86,1670548236,7329075491,18882308239,16992992779,7133155213,1281437793,12496283247,5159880437,3893.288889,3899.493333,25609205219,21944278340,52813374.17,195121240.5,1631458225,1252595487,1616489106,1164652317,1988948217,2111387673,1216710938,2782002890,29167424036,15680418608,825369062.9,2369612700
04/01/2018 05:00,14407239476,6343152239,13097036.44,260758789.7,13367237967,13709815032,118206524.8,17772850.62,1678143370,7209036805,20044112590,28087322446,6886756124,1201236398,10940175975,5008790424,3909.895556,3916.691111,23238102905,33234179167,112147421.3,138790332,1593793218,2123685882,1369920870,1545587940,2611864498,2180376731,1034058821,2240430177,24652124643,20045829683,1064100977,5858376978
04/01/2018 06:00,18980723753,8220747580,49333380.02,237576612.4,11669889052,13225838184,132199970.6,52467614.29,1561161262,8501521401,21891347921,30445927631,8423459738,1060608832,14136431289,5920937894,3830.171111,3830.768889,23633048570,39602045447,70617563.75,217776731.6,1873918827,1381840857,1296585926,1597023306,5115344986,2480886372,447885198.4,2918153979,28115138099,19933733812,2981175233,1307208007
04/01/2018 07:00,5756190594,2153216876,13998328.22,246183017.1,9462069081,12725374682,88400830.07,3224662.663,1635881493,6228484924,14533627488,15538328108,6131150713,1302137463,11897376665,3030804576,3835.533333,3846.015556,17480962843,24738024955,110476430.1,127675136.2,2048976311,1018369343,1375800255,1496091486,2035619383,2195977777,575655304.2,358419829.7,27514702522,16313298979,1967131001,4036132055
