Month,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34
09/06/2018 21:00,0.148925198,0.108285387,0.00599693,0.029940762,0.905636036,2.265017631,0.010966858,0.000505121,0.236811511,0.408232301,2.519615737,1.084691032,0.379546014,0.226645539,0.725869582,0.482230554,1.733805387,0.980365653,0.805700157,1.313830741,0.021480825,0.035829499,0.209362227,0.114527201,0.192134977,0.079099756,0.692640528,0.447032314,1.40536E-06,1.59104E-06,2.900642688,2.884433504,0.002233121,0.003694854
09/06/2018 22:00,0.135538629,0.252693792,0.002186234,0.02453299,0.52986121,2.102612045,0.010852377,0.006117572,0.168384148,0.242231503,2.497761292,0.700686815,0.211214105,0.168570457,0.686102332,0.345864213,1.531639199,1.224435404,1.004258612,1.178349585,0.006353014,0.039726613,0.169455299,0.098885599,0.155067437,0.090748015,0.660659095,0.303471029,7.90706E-06,0.005390564,3.105557623,2.63035826,0.00276794,0.006296354
09/06/2018 23:00,0.122280264,0.129087535,0.001930763,0.029128771,0.614179094,2.373714987,0.011087803,0.003597666,0.202838512,0.243990326,2.659109592,0.787126664,0.219316247,0.128772426,0.664544682,0.338229022,1.364366013,0.966456545,0.754758483,1.089208773,0.006030108,0.029820013,0.244515219,0.10377775,0.098756454,0.127731793,0.607101129,0.276798897,0.005396852,8.13932E-06,2.639098473,2.69304443,0.007011061,0.007117298
10/06/2018 00:00,0.140856445,0.155980801,0.005403712,0.026550721,0.558481782,2.377869505,0.019375005,0.000806518,0.257381659,0.178589362,2.662045268,0.759787093,0.172756972,0.223558265,0.989188851,0.268798591,1.389004828,1.022602065,0.889009983,1.063998626,0.008427789,0.020776621,0.180460442,0.118312779,0.162407096,0.081344549,0.903742355,0.211877886,1.41698E-06,1.6009E-06,2.980742601,3.23771171,0.002743726,0.008581396
10/06/2018 01:00,0.104272938,0.102897898,0.007755983,0.024265203,0.522769113,2.169035127,0.011569015,0.000778605,0.183868337,0.245802349,2.419437016,0.668849409,0.22446446,0.127894235,0.856410663,0.233000975,1.511669117,0.747926331,0.761486545,1.082885827,0.014663394,0.016242525,0.152215761,0.075840564,0.100794446,0.090762188,0.759367388,0.184160626,1.41006E-06,1.59052E-06,2.631983249,2.732015009,0.002959507,0.002395538
10/06/2018 02:00,0.174543757,0.125372551,0.009992131,0.028650428,0.508119667,1.919309369,0.012854179,0.013601556,0.1967518,0.517825774,2.206225896,0.702108297,0.506226014,0.161182401,0.723144437,0.108567167,1.592477041,0.998643664,1.057892563,1.111863916,0.006286424,0.034350026,0.153865431,0.109690572,0.132693961,0.09594012,0.671329646,0.069940195,1.41305E-06,1.5887E-06,2.449322812,3.085188909,0.002375905,0.003235048
10/06/2018 03:00,0.154114026,0.189125685,0.002130376,0.023972261,0.50846652,0.976597496,0.015380486,0.000620185,0.23254885,0.53142377,1.32478645,0.697349249,0.493940316,0.156426641,0.242032739,0.218627042,1.585935961,0.791665184,0.855197062,1.066763072,0.012578517,0.026808226,0.121308059,0.123797749,0.136839721,0.080169073,0.221844651,0.190451705,8.00158E-06,0.005391144,1.872098498,3.334204325,0.002588687,0.006340632
10/06/2018 04:00,0.136716612,0.268747068,0.001943863,0.024718408,0.690660243,0.914167633,0.011539337,0.000449515,0.197379027,0.543572442,1.217813624,0.886244778,0.489772647,0.152886885,0.349908355,0.248458162,1.567281413,1.306360228,0.766829473,1.049348934,0.00958681,0.021905462,0.10060226,0.135104333,0.100632111,0.071846335,0.29423105,0.181546803,1.40844E-06,1.59358E-06,2.220220053,3.022890045,0.006280291,0.003237932
10/06/2018 05:00,0.104844939,0.280999781,0.003881016,0.034840367,0.66208413,1.057699907,0.011181124,0.003407216,0.236846277,0.51929524,1.297132754,0.829292703,0.508786477,0.168405569,0.151496058,0.170512337,1.929726247,0.819090443,0.711435944,1.051127455,0.00400203,0.015208602,0.106613257,0.127069183,0.103467049,0.079986344,0.112297463,0.149203553,1.41741E-06,1.60126E-06,1.558919989,3.225297041,0.002809098,0.00284183
10/06/2018 06:00,0.132517306,0.137565549,0.005749207,0.023974142,0.550215707,1.595638954,0.011193909,0.000430418,0.239578937,0.55071223,1.910066179,0.755092966,0.52306541,0.168209989,0.169905834,0.21780367,1.809753037,0.890544768,0.709736799,1.1419475,0.0113014,0.022410284,0.09988813,0.118401756,0.11438117,0.059380456,0.104022957,0.148889702,0.005396844,8.06667E-06,2.028108383,3.014887021,0.002578921,0.00631437
10/06/2018 07:00,0.103649869,0.137018834,0.007008193,0.03158867,0.561222878,1.153433759,0.011439735,0.005933069,0.192868321,0.572400489,1.342269096,0.677863052,0.542497921,0.154450763,0.080216681,0.339576988,1.401378492,0.819193491,0.580000353,1.021412393,0.009167127,0.018452656,0.108020145,0.122082736,0.111514513,0.087400005,0.034494117,0.299710304,1.40796E-06,1.61606E-06,1.56868539,2.474207066,0.002248285,0.004770458
10/06/2018 08:00,0.154204608,0.112060688,0.000979076,0.024146639,1.244463674,1.853934868,0.009302271,0.000363842,0.347832163,0.543342705,2.082938247,1.44952614,0.527198553,0.337013326,0.067200229,0.888788034,2.767051129,1.900268843,1.356482867,1.231189709,0.004369371,0.0141444,0.107837724,0.109129267,0.270773144,0.100282485,0.025567479,0.865850445,8.00128E-06,0.005384962,3.33310591,4.087150635,0.001911366,0.011247361
10/06/2018 09:00,0.112364792,0.082504288,0.001265652,0.028611098,0.807539424,1.294448241,0.007484538,0.000348415,0.280008312,0.671468053,1.518463418,0.962044461,0.667106881,0.234089489,0.065564132,0.823976452,1.187477179,0.973437257,1.166143493,1.07156282,0.006875387,0.018565239,0.071594313,0.09978668,0.192592145,0.068422103,0.023892924,0.778706213,1.41624E-06,1.59398E-06,2.060693886,2.369180396,0.0018237,0.016751285
10/06/2018 10:00,0.120448935,0.098843806,0.005545224,0.034006765,0.557616866,1.394067241,0.007720002,0.000356448,0.192580213,0.639760401,1.533952451,0.721255298,0.603667265,0.134867632,0.071359837,0.581442785,1.174741174,1.273519577,0.756302074,0.984063286,0.008987007,0.014514049,0.077583152,0.073894779,0.122311054,0.076491898,0.026058495,0.538131285,1.41194E-06,1.56687E-06,2.287443628,2.253878617,0.002524504,0.01662262
10/06/2018 11:00,0.097190896,0.12855075,0.004196788,0.031157424,0.48071547,1.207287474,0.016859367,0.011171028,0.228853616,0.626476903,1.472638662,0.614472493,0.588388406,0.168770585,0.060323856,0.756142933,1.303803643,1.123335181,0.625057924,0.932106851,0.007082834,0.012988505,0.100149518,0.052805476,0.10183342,0.077740237,0.029880474,0.716013025,0.005393615,7.94268E-06,1.809769999,2.379167063,0.002396964,0.013163245
10/06/2018 12:00,0.131510276,0.123065949,0.000890928,0.023243519,0.436542642,1.127658015,0.009328707,0.000331553,0.172292213,0.617957087,1.401243896,0.605635352,0.594812178,0.115927985,0.403920759,0.671945031,1.211127752,1.009853388,0.555297499,0.872359739,0.008188825,0.014115235,0.094706281,0.084084299,0.116727385,0.0878065,0.370957931,0.651774683,1.41218E-06,1.5952E-06,2.125258738,2.212374862,0.002148989,0.013442775
10/06/2018 13:00,0.138844279,0.222327364,0.00130782,0.029579522,0.453339023,1.296529203,0.010278962,0.003532673,0.208519337,0.643831176,1.65258701,0.602698202,0.625451955,0.146126493,0.753142472,0.502166666,1.212853612,0.948473591,0.661035847,0.89420594,0.008173017,0.027017669,0.147810527,0.055686647,0.113635104,0.143347786,0.685708458,0.43798886,1.41597E-06,1.60084E-06,2.105213295,2.086026561,0.0032714,0.015588712
10/06/2018 14:00,0.129941204,0.119143468,0.005334856,0.024520743,0.505399082,1.241482629,0.007532675,0.000419875,0.212529018,0.621363537,1.441255627,0.679046623,0.578118234,0.148451347,0.803611845,0.218581069,1.080225074,1.316279987,0.717297435,0.957064513,0.01094071,0.020195812,0.106996965,0.052432959,0.112472632,0.133147022,0.761119631,0.184291129,1.41047E-06,1.59279E-06,2.422540849,2.046300103,0.006560801,0.003870563
